id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-05-19 06:54:17.425312,,,,,,f,,{},question,2,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""1"",""ideology"":""2"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""7""}"
2,2019-05-19 08:26:34.137633,,,,,,f,,{},question,3,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""3"",""ideology"":""6"",""technical_issues"":""I didnâ€™t have any problems with the survey either technically or in understanding the questions.  "",""confusion"":""There were no problems with the survey, technical or otherwise"",""engagement"":""10"",""difficulty"":""7""}"
3,2019-05-19 08:50:04.573692,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""0"",""ideology"":""8"",""technical_issues"":"""",""confusion"":"""",""engagement"":""8"",""difficulty"":""2""}"
4,2019-05-19 10:27:39.586278,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""No"",""education"":""3"",""age"":""1"",""ideology"":""7"",""technical_issues"":""Not at all."",""confusion"":""No."",""engagement"":""10"",""difficulty"":""5""}"
5,2019-05-19 10:38:08.229269,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""1"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""9"",""difficulty"":""4""}"
6,2019-05-19 10:54:11.701966,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""2"",""ideology"":""10"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""3""}"
7,2019-05-19 13:11:33.728786,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""1"",""ideology"":""8"",""technical_issues"":"""",""confusion"":"""",""engagement"":""10"",""difficulty"":""1""}"
8,2019-05-19 13:28:56.140611,,,,,,f,,{},question,9,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""technical_issues"":"""",""confusion"":"""",""engagement"":""10"",""difficulty"":""3""}"
9,2019-05-19 15:06:30.302784,,,,,,f,,{},question,10,1,questionnaire,"{""language"":""Yes"",""education"":""1"",""age"":""1"",""ideology"":""8"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""1""}"
